id_area_x_municipio;id_area_servicio;id_municipio;id_estructura_municipal;cantidad_minima_fotos
14069;6361;377;4153;
14148;6437;377;763;
14446;6717;377;4152;
14630;6891;377;4152;
14634;6895;377;763;
14750;7007;377;4151;
14751;7008;377;763;
14931;7176;377;763;
14932;7177;377;763;
14933;7178;377;763;
14934;7179;377;763;
14935;7180;377;763;
14936;7181;377;763;
14952;7197;377;4890;
15055;7299;377;763;
15081;7325;377;4890;
15145;7378;377;4890;
15305;7533;377;4152;
15306;7534;377;4152;
15307;7535;377;4152;
15308;7536;377;4152;
15309;7537;377;4152;
15310;7538;377;4152;
15311;7539;377;4152;
15312;7540;377;4152;
15313;7541;377;4152;
15314;7542;377;4152;
15315;7543;377;4152;
15316;7544;377;4152;
15317;7545;377;4152;
15361;7584;377;4152;
15362;7585;377;763;
15575;7794;377;763;
15599;7814;377;763;
15662;7874;377;5614;
15672;7884;377;5733;
15673;7885;377;5733;
15674;7886;377;5733;
15675;7887;377;5733;
15677;7889;377;5733;
15678;7890;377;5733;
15679;7891;377;5733;
15680;7892;377;5733;
15681;7893;377;5733;
15682;7894;377;5733;
15683;7895;377;5733;
15707;7918;377;5733;
15780;7984;377;5274;
15781;7985;377;5274;
15782;7986;377;5274;
15783;7987;377;5274;
15784;7988;377;5274;
15785;7989;377;5274;
15786;7990;377;5274;
15809;8013;377;5274;
15810;8014;377;5274;
15822;8025;377;5612;
15871;8070;377;4153;
