Agrup_Municpal;id_area_servicio;Área de Servicio
"ACTIVOS";7008;"Flota vehicular"
"ACTIVOS";7325;"Parque informático"
"ALUMBRADO PÚBLICO";6717;"Alumbrado Público"
"ARBOLADO Y PLAZAS";7533;"Arbolado"
"ARBOLADO Y PLAZAS";7535;"Espacios verdes y plazas"
"CALLES Y VEREDAS";7534;"Calles y veredas"
"FISCALIZACIÓN";7893;"Comercio"
"FISCALIZACIÓN";7887;"Consulta sobre habilitación comercial no"
"FISCALIZACIÓN";7889;"Contaminación por derrames tóxicos o agu"
"FISCALIZACIÓN";7894;"Control de norma de seguridad – comercio"
"FISCALIZACIÓN";7197;"Habilitación Comercial"
"FISCALIZACIÓN";7895;"Higiene y seguridad – comercio/industria"
"FISCALIZACIÓN";7884;"Inconveniente con olores y plagas en com"
"FISCALIZACIÓN";7891;"Inconveniente con plagas en vía pública"
"FISCALIZACIÓN";7538;"Inconvenientes con empresa de servicio p"
"FISCALIZACIÓN";7892;"Inconvenientes con olores en vía pública"
"FISCALIZACIÓN";7885;"Inconvenientes con ruidos molestos"
"FISCALIZACIÓN";6361;"Inspecciones"
"FISCALIZACIÓN";7886;"Irregularidades en Actividades Comercial"
"FISCALIZACIÓN";7890;"Ocupación Irregular del Espacio Público"
"NO SSPP";7814;"Asesoramiento"
"NO SSPP";6437;"Cédulas de Notificación"
"NO SSPP";7874;"Control de incidentes"
"NO SSPP";7794;"Emergencia Climática"
"NO SSPP";7918;"Habilitación Comercial - DEMO"
"NO SSPP";6891;"Luminaria - interno"
"NO SSPP";7176;"Mant. Educación - Tareas de Mant"
"NO SSPP";7179;"Mant. Educación - Trabajos de Al"
"NO SSPP";7181;"Mant. Educación - Trabajos de Ca"
"NO SSPP";7177;"Mant. Educación - Trabajos de El"
"NO SSPP";7180;"Mant. Educación - Trabajos de Pi"
"NO SSPP";7178;"Mant. Educación - Trabajos de Sa"
"NO SSPP";7007;"Obras Privadas"
"NO SSPP";6895;"Relevamiento Luminaria"
"NO SSPP";7585;"Relevamiento Punto Seguro"
"MANTENIMIENTO GENERAL";7540;"Mant. general"
"MANTENIMIENTO GENERAL";7378;"Obras Municipales"
"MANTENIMIENTO GENERAL";7299;"Permiso de Obra"
"RESIDUOS Y LIMPIEZA";7536;"Recol.residuos reciclables"
"RESIDUOS Y LIMPIEZA";7537;"Recol.residuos y limpieza"
"RESIDUOS Y LIMPIEZA";7541;"Recol.residuos y limpieza en es"
"RESIDUOS Y LIMPIEZA";7542;"Retiro de animales muertos"
"TRÁNSITO";7539;"Licencia de Conducir"
"TRÁNSITO";7584;"Mant. vial y Servicios"
"TRÁNSITO";7543;"Señalamiento Vial"
"TRÁNSITO";7544;"Tránsito"
"TRÁNSITO";7545;"Vehículo abandonado"
