id_padre;id_hijo;id_estado_hijo;descripcion_estado_hijo
8158133;8158190;7;"Cumplido"
8166987;8210273;7;"Cumplido"
8162090;8210302;7;"Cumplido"
8376828;8429816;7;"Cumplido"
8728770;9087043;7;"Cumplido"
9313708;9337249;7;"Cumplido"
9345017;9376784;7;"Cumplido"
9551922;9557621;7;"Cumplido"
9555866;10195879;7;"Cumplido"
6497111;6498896;7;"Cumplido"
6826572;6856660;7;"Cumplido"
8094589;8096919;7;"Cumplido"
8225686;8233812;7;"Cumplido"
8239017;8289565;7;"Cumplido"
8239017;8289598;7;"Cumplido"
8239017;8289608;7;"Cumplido"
8239017;8290604;7;"Cumplido"
8295445;8299522;7;"Cumplido"
8255900;8299572;7;"Cumplido"
8255900;8315235;7;"Cumplido"
8295309;8299645;7;"Cumplido"
8294881;8299731;7;"Cumplido"
8296717;8299842;7;"Cumplido"
8296628;8299869;7;"Cumplido"
8300230;8300455;7;"Cumplido"
8294742;8304034;7;"Cumplido"
8298558;8305168;7;"Cumplido"
8300536;8305645;7;"Cumplido"
8300355;8305668;7;"Cumplido"
8300338;8305708;7;"Cumplido"
8235695;8307298;7;"Cumplido"
8305918;8311111;7;"Cumplido"
8305918;8311157;7;"Cumplido"
8209941;8315580;7;"Cumplido"
8209941;8318301;7;"Cumplido"
8209978;8315695;7;"Cumplido"
8318921;8320729;7;"Cumplido"
8318921;8320740;7;"Cumplido"
8304520;8321437;7;"Cumplido"
8169865;8322153;7;"Cumplido"
8169865;8331047;7;"Cumplido"
8169865;8331055;7;"Cumplido"
8329540;8330978;7;"Cumplido"
8331042;8336472;7;"Cumplido"
8137561;8342925;7;"Cumplido"
8094842;8343137;7;"Cumplido"
8347225;8347756;7;"Cumplido"
8294535;8349430;7;"Cumplido"
8286945;8349499;7;"Cumplido"
8275796;8349591;7;"Cumplido"
8269232;8349618;7;"Cumplido"
8793023;8827043;7;"Cumplido"
8793023;8859306;7;"Cumplido"
8792372;8988833;7;"Cumplido"
8911531;8968404;7;"Cumplido"
9021497;9037184;7;"Cumplido"
9160613;9188038;7;"Cumplido"
9160613;9245140;7;"Cumplido"
8270367;8308809;7;"Cumplido"
6742654;6742664;7;"Cumplido"
6771509;6870219;7;"Cumplido"
6798315;6887468;7;"Cumplido"
8284650;8359035;7;"Cumplido"
8352020;8388778;7;"Cumplido"
8616841;8983026;7;"Cumplido"
8878862;9052496;7;"Cumplido"
9119374;9347751;7;"Cumplido"
8795439;9416144;7;"Cumplido"
6837479;6840452;7;"Cumplido"
6701508;6870138;7;"Cumplido"
7880087;8034487;7;"Cumplido"
9429668;9430270;7;"Cumplido"
8636714;8759169;7;"Cumplido"
8668137;8907738;7;"Cumplido"
8668403;8908398;7;"Cumplido"
8977234;9181369;7;"Cumplido"
9191452;9337303;7;"Cumplido"
9409066;9491748;7;"Cumplido"
9407801;10272180;7;"Cumplido"
7426381;7426442;7;"Cumplido"
8237192;8294657;7;"Cumplido"
6875607;6900718;7;"Cumplido"
8636713;8758761;7;"Cumplido"
8699817;8770504;7;"Cumplido"
8770504;8852057;7;"Cumplido"
8635348;8891411;7;"Cumplido"
8702054;8892026;7;"Cumplido"
9101545;9181334;7;"Cumplido"
8888459;9442521;7;"Cumplido"
9101564;9443481;7;"Cumplido"
8962509;9481450;7;"Cumplido"
9447865;9481982;7;"Cumplido"
9554679;10195838;7;"Cumplido"
7160563;7189306;7;"Cumplido"
8101845;8294876;7;"Cumplido"
8278855;8343942;7;"Cumplido"
8278855;8346459;7;"Cumplido"
8278855;8290930;7;"Cumplido"
8278855;8290944;7;"Cumplido"
8278855;8291204;7;"Cumplido"
8343942;8360092;7;"Cumplido"
8470534;8561576;7;"Cumplido"
8542623;8562077;7;"Cumplido"
9418557;9482848;7;"Cumplido"
8248227;8330519;5;"Sin Asignar"
8248227;8330494;8;"Cancelado"
8766263;8891686;5;"Sin Asignar"
8765786;10282418;5;"Sin Asignar"
8702354;8710713;8;"Cancelado"
8780946;8986853;8;"Cancelado"
8780946;8986889;8;"Cancelado"
9077441;9078720;8;"Cancelado"
9079351;9089330;8;"Cancelado"
9079351;9090064;8;"Cancelado"
9109186;9122100;8;"Cancelado"
9109186;9184943;10;"Auditado"
9432313;9442755;8;"Cancelado"
9452637;9456387;8;"Cancelado"
9454188;9464249;8;"Cancelado"
9112122;10306937;8;"Cancelado"
10285910;10317395;26;"En Espera"
10303368;10360296;8;"Cancelado"
8288555;8299342;8;"Cancelado"
8288555;8299351;8;"Cancelado"
8295050;8299700;8;"Cancelado"
8277298;8307973;8;"Cancelado"
8324862;8333715;8;"Cancelado"
8324862;8333706;10;"Auditado"
8327686;8348116;8;"Cancelado"
8327686;8348144;8;"Cancelado"
8342145;8348173;8;"Cancelado"
8336815;8349253;8;"Cancelado"
8300317;8349302;8;"Cancelado"
8307831;8349335;8;"Cancelado"
8254353;8349380;8;"Cancelado"
8314776;8349463;8;"Cancelado"
8279952;8349563;8;"Cancelado"
8308646;8353763;8;"Cancelado"
8264433;8353769;8;"Cancelado"
8562171;8566974;8;"Cancelado"
8792372;8851961;5;"Sin Asignar"
8895902;9026058;8;"Cancelado"
10326226;10404755;10;"Auditado"
9167382;9416117;5;"Sin Asignar"
8977565;9412290;5;"Sin Asignar"
10311301;10345255;5;"Sin Asignar"
